ID;FORMA;DATA;QTD;CAT_OBJ;N_CAT;FORMA;REP_ACAO;FONTE;REFERENCIA;ENDERECO;LAT;LONG;CIDADE;BAIRRO
24;Moradores fecham parcialmente BR-277 em protesto contra mudanças na rodovia;01/02/2011;300;Transporte, trânsito e circulação;19;Obstáculos na pista;Fechamento de vias públicas;Banda B;http://www.bandab.com.br/jornalismo/moradores-fecham-parcialmente-br-277-em-protesto-contra-mudancas-na-rodovia/;Estrada Figueiredo, 36;-25,443240;-49,459710;Campo Largo;Ferraria
25;Protesto em frente à Cohab reivindica desapropriação de terreno no Sabará;19/10/2012;200;Moradia;11;Manifestação em frente a prédio público - COHAB;Manifestação em espaço público;Gazeta do Povo;SENKOVSKI, Antonio. Protesto em frente à Cohab reivindica desapropriação de terreno no Sabará. Gazeta do Povo. 19/10/2012. Disponível em: http://www.gazetadopovo.com.br/vidaecidadania/conteudo.phtml?id=…em-frente-a-Cohab-reivindica-desapropriacao-de-terreno-no-Sabara. Acessado em 22/02/2013.;R. Barão do Rio Branco, 45 - Centro, Curitiba - PR, 80010-180;-25,430485;-49,269066;Curitiba;Centro
26;Serra dourada protesta com queima de pneus;03/09/2011;;Transporte, trânsito e circulação;19;Pneus queimados;Fechamento de vias públicas;O Popular - Jornal de Araucária e Região;"http://www.opopularpr.com.br/noticias/sem-categoria/serra-dourada-protesta-com-queima-de-pneus/
";Rua Boca de Leão, 135;-25,373427;-49,358628;Araucária;Campina da Barra
27;Volume de acidentes faz moradores queimarem pneus e fecharem rua em protesto.;08/05/2011;100;Transporte, trânsito e circulação;19;Queima de pneus;Fechamento de vias públicas;Banda B;NASCIMENTO, Antônio. Volume de Acidentes faz moradores queimarem pneus e fecharem rua em protesto. Banda B. Almirante Tamandaré, 08 maio 2011. Disponível em: <http://www.bandab.com.br/jornalismo/geral/volume-de-acidentes-faz-moradores-queimarem-pneus-e-fecharem-rua-em-protesto/>. Acesso em: 29 jun. 2017.;R. José Milek Filho, 374 - Campina do Arruda- Almirante Tamandaré - PR;-25,345687;-49,252484;Almirante Tamandaré;Campina do Arruda
29;Moradores queimam lixo no meio da rua em protesto por falta de recolhimento;01/02/2011;;Lixo e resíduos;10;Manifestantes reuniram o lixo acumulado pela falta de coleta e ateou fogo no meio da rua;Fechamento de vias públicas;Banda B;MORADORES queimam lixo no meio da rua em protesto por falta de recolhimento. Banda B. Curitiba. 02 fev. 2011. Disponível em: <http://www.bandab.com.br/jornalismo/moradores-queimam-lixo-no-meio-da-rua-em-protesto-por-falta-de-recolhimento/ 1>. Acesso em: 29 jun. 2017.;Avenida Benjamim Possebon, 500;-25,549153;-49,153851;São José dos Pinhais;Quissisana
30;Protesto na CAVO por temor de demissões e pedido de aumento salarial;10/03/2011;1500;Lixo e resíduos;10;Paralisação dos funcionários da CAVO;Paralisação e greve;Gazeta do Povo;STANCKI, Rodolfo. Protesto na Cavo prejudica a coleta de lixo em Curitiba durante a manhã. Gazeta do Povo, Curitiba, 10 mar 2011. Disponível em www.gazetadopovo.com.br/economia/conteudo.phtml?id=1104506&tit=Protesto-na-Cavo-prejudica-a-coleta-de-lixo-em-Curitiba-durante-a-manha. Acesso em 25 de agosto de 2017.;Avenida Getúlio Vargas 177;-25,441138;-49,261780;Curitiba;Rebouças
31;Catadores protestam na Boca Maldita contra incineração de resíduos;03/12/2012;300;Lixo e resíduos;10;Passeata de Catadores na Boca Maldita;Passeata;Banda B;HENRIQUE, Bruno. Catadores protestam na Boca Maldita contra incineração de resíduos. Banda B. Curitiba, 02 jan. 2012. Disponível em: <http://www.bandab.com.br/jornalismo/geral/catadores-protestam-na-boca-maldita-contra-incineracao-de-residuos/>. Acesso em: 29 jun. 2017.;Rua Luiz Xavier 78;-25,432220;-49,274431;Curitiba;Centro
33;Moradores do Boqueirão fazem carreata de protesto até o Centro Cívico;23/08/2012;;Moradia;11;Carreata;Carreatas ou manifestações sobre rodas;Gazeta do Povo;"SENKOVSKI, A; BATISTA, R. Moradores do Boqueirão fazem carreata de protesto até o Centro Cívico. Gazeta do Povo, Curitiba, 2012";Rua O Brasil para Cristo, 3328;-25,512656;-49,222395;Curitiba;Boqueirão
34;Manifestantes fazem protesto e fecham rua no Tatuquara por 2 horas;29/08/2012;;Moradia;11;Fechamento de via;Fechamento de vias públicas;Gazeta do Povo;BATISTA, R. Manifestantes fazem protesto e fecham rua no Tatuquara por 2 horas. Gazeta do Povo, Curitiba, 2012;Rua Presidente João Goularte, 1150;-25,574100;-49,328435;Curitiba;Tatuquara
35;Grupo protesta contra atraso na entrega de imóveis da MRV;20/07/2013;30;Moradia;11;;;Parana Online - Tribuna PR;Grupo protesta contra atraso na entrega de imóveis da MRV. Paraná online, Curitiba, 2013;Avenida Bispo Dom José, 2205;-25,444926;-49,294050;Curitiba;Batel
